id,chat_id,msg_idx,label,window_text
u03809,chat_00476,0,Cotización generada,"<SYS> Falta cantidad de personas, hora de regreso, por favor. <USR> origen Apoquindo 3597, Valparaíso <USR> somos 8 personas <SYS> Falta destino, hora, por favor. <USR> ida y vuelta <USR> regreso a las 15:30 <SYS> Falta hora, destino, por favor. <USR> destino Nueva Imperial 3846, La Serena <USR> a las 19:30 <SYS> Falta fecha, por favor. <USR> el 25/04/2025"
u00193,chat_00024,0,Potencial cliente,"<USR> buenos dias, necesito hablar con un asesor"
u01603,chat_00200,2,Cotizando,"<SYS> Falta origen, fecha, por favor. <USR> el 31/05/2025 <USR> regreso a las 11:30 <SYS> Falta cantidad de personas, hora, por favor. <USR> a las 19:00 <SYS> Falta destino, cantidad de personas, por favor. <USR> destino Los Leones 1896, Talca <SYS> Falta si hay regreso, origen, por favor. <USR> ida y vuelta"
u03541,chat_00442,4,Cotización generada,"<SYS> Falta hora de regreso, fecha, por favor. <USR> somos 6 personas <SYS> Falta destino, fecha, por favor. <USR> destino Vicuña Mackenna 3370, Concepción <SYS> Falta hora de regreso, fecha, por favor. <USR> el 22/11/2025 <SYS> Falta hora de regreso, por favor. <USR> regreso a las 21:15"
u00116,chat_00014,3,Potencial cliente,"<USR> buenos dias, necesito hablar con un asesor"
u01630,chat_00203,13,Cotizando,"<SYS> Falta origen, fecha, por favor. <USR> regreso a las 09:00 <SYS> Falta fecha, destino, por favor. <USR> el 15/01/2025 <SYS> Falta origen, destino, por favor. <USR> destino Vicuña Mackenna 346, Rancagua <SYS> Falta hora, origen, por favor. <USR> solo ida <USR> origen Los Leones 1764, La Serena"
u01508,chat_00188,3,Cotizando,"<USR> consulta, hacen viajes privados? 😁 <SYS> Falta si hay regreso, fecha, por favor. <USR> origen Nueva Imperial 625, Talca <USR> somos 12 personas <SYS> Falta si hay regreso, hora, por favor. <USR> destino Vicuña Mackenna 711, Talca <USR> solo ida"
u00348,chat_00043,11,Potencial cliente,"<USR> consulta, hacen viajes privados?"
u03344,chat_00417,15,Cotización generada,"<SYS> Falta cantidad de personas, si hay regreso, por favor. <USR> ida y vuelta <USR> regreso a las 08:00 <SYS> Falta fecha, hora, por favor. <USR> destino Providencia 4962, Talca <USR> el 24/03/2025 <SYS> Falta hora, cantidad de personas, por favor. <USR> a las 09:45 <USR> origen Alameda 1718, Concepción <SYS> Falta cantidad de personas, por favor. <USR> somos 8 personas"
u02413,chat_00301,12,Cotizando,"<USR> consulta, hacen viajes privados? <SYS> Falta destino, fecha, por favor. <USR> a las 14:00 <USR> regreso a las 12:00"
u02126,chat_00265,13,Cotizando,"<USR> necesito una cotizacion <SYS> Falta cantidad de personas, origen, por favor. <USR> el 15/08/2025"
u00481,chat_00060,0,Potencial cliente,<USR> necesito una cotizacion
u00421,chat_00052,4,Potencial cliente,<USR> hola! tienen disponibilidad para la semana?
u01128,chat_00140,7,Cotizando,"<USR> consulta, hacen viajes privados? <SYS> Falta cantidad de personas, hora de regreso, por favor. <USR> destino Alameda 1622, Talca"
u03404,chat_00425,11,Cotización generada,"<SYS> Falta destino, cantidad de personas, por favor. <USR> somos 6 personas <USR> origen Nueva Imperial 4846, Rancagua <SYS> Falta fecha, hora de regreso, por favor. <USR> el 16/08/2025 <SYS> Falta destino, hora de regreso, por favor. <USR> regreso a las 19:00 <USR> destino Providencia 3217, Puerto Montt <SYS> Falta hora, por favor. <USR> a las 08:00"
u02283,chat_00285,10,Cotizando,"<USR> buenos dias, necesito hablar con un asesor <SYS> Falta hora de regreso, hora, por favor. <USR> destino Los Leones 307, Antofagasta <SYS> Falta cantidad de personas, hora, por favor. <USR> a las 11:30 <SYS> Falta cantidad de personas, origen, por favor. <USR> origen Alameda 794, Antofagasta"
u04289,chat_00536,0,Cotización generada,"<SYS> Falta hora, cantidad de personas, por favor. <USR> el 22/04/2025 <USR> regreso a las 09:30 <SYS> Falta si hay regreso, destino, por favor. <USR> a las 08:15 <USR> somos 8 personas <SYS> Falta destino, si hay regreso, por favor. <USR> solo ida <USR> origen Prat 4922, Viña del Mar <SYS> Falta destino, por favor. <USR> destino San Martín 2391, Puerto Montt"
u03476,chat_00434,3,Cotización generada,"<SYS> Falta fecha, origen, por favor. <USR> el 11/06/2025 <SYS> Falta hora de regreso, hora, por favor. <USR> a las 08:45 <SYS> Falta hora de regreso, origen, por favor. <USR> regreso a las 12:30 <USR> origen Portugal 769, Antofagasta <SYS> Falta cantidad de personas, por favor. <USR> somos 3 personas"
u02161,chat_00270,0,Cotizando,"<SYS> Falta hora de regreso, fecha, por favor. <USR> a las 20:30 <SYS> Falta hora de regreso, si hay regreso, por favor. <USR> solo ida <SYS> Falta origen, fecha, por favor. <USR> somos 12 personas <SYS> Falta origen, destino, por favor. <USR> el 09/12/2025"
u01562,chat_00195,9,Cotizando,"<USR> consulta, hacen viajes privados? 🚐 <SYS> Falta destino, cantidad de personas, por favor. <USR> regreso a las 19:00 <USR> origen Portugal 1615, Valparaíso"
u04168,chat_00520,7,Cotización generada,"<SYS> Falta hora, fecha, por favor. <USR> solo ida <SYS> Falta hora de regreso, hora, por favor. <USR> regreso a las 09:00 <SYS> Falta hora, origen, por favor. <USR> origen Alameda 637, Valparaíso <SYS> Falta fecha, hora, por favor. <USR> a las 19:45 <USR> el 02/01/2025"
u03493,chat_00436,4,Cotización generada,"<SYS> Falta fecha, si hay regreso, por favor. <USR> solo ida <SYS> Falta hora, fecha, por favor. <USR> destino Nueva Imperial 3498, Viña del Mar <SYS> Falta cantidad de personas, hora, por favor. <USR> a las 11:30 <USR> somos 6 personas <SYS> Falta fecha, por favor. <USR> el 12/07/2025"
u00732,chat_00091,11,Potencial cliente,"<USR> hola, quisiera info de traslados?"
u03797,chat_00474,4,Cotización generada,"<SYS> Falta hora de regreso, destino, por favor. <USR> destino Alameda 3329, Puerto Montt <USR> somos 10 personas <SYS> Falta origen, fecha, por favor. <USR> solo ida <SYS> Falta hora de regreso, hora, por favor. <USR> a las 19:00 <USR> el 09/10/2025 <SYS> Falta hora de regreso, origen, por favor. <USR> origen Pedro de Valdivia 383, Talca <USR> regreso a las 17:15"
u02363,chat_00295,10,Cotizando,"<SYS> Falta fecha, hora, por favor. <USR> regreso a las 10:45 <USR> ida y vuelta <SYS> Falta cantidad de personas, fecha, por favor. <USR> a las 18:45 <USR> origen Vicuña Mackenna 1499, La Serena <SYS> Falta destino, cantidad de personas, por favor. <USR> destino San Martín 935, Temuco <SYS> Falta fecha, cantidad de personas, por favor. <USR> el 25/12/2025"
u04326,chat_00540,5,Cotización generada,"<SYS> Falta fecha, cantidad de personas, por favor. <USR> a las 20:45 <SYS> Falta fecha, si hay regreso, por favor. <USR> somos 4 personas <USR> origen Vicuña Mackenna 4939, Talca <SYS> Falta si hay regreso, fecha, por favor. <USR> solo ida <USR> el 24/12/2025 <SYS> Falta hora de regreso, por favor. <USR> regreso a las 14:30"
u00773,chat_00096,4,Cotizando,"<USR> hola, quisiera info de traslados? 📅 <SYS> Falta fecha, si hay regreso, por favor. <USR> destino Pedro de Valdivia 4830, Temuco <SYS> Falta hora, origen, por favor. <USR> regreso a las 16:45"
u01269,chat_00158,4,Cotizando,"<USR> necesito una cotizacion <SYS> Falta cantidad de personas, destino, por favor. <USR> el 31/01/2025 <SYS> Falta origen, destino, por favor. <USR> somos 3 personas <SYS> Falta origen, destino, por favor. <USR> ida y vuelta"
u03306,chat_00413,9,Cotización generada,"<SYS> Falta fecha, hora, por favor. <USR> somos 8 personas <USR> el 15/02/2025 <SYS> Falta hora, hora de regreso, por favor. <USR> destino San Martín 550, Concepción <SYS> Falta origen, hora, por favor. <USR> origen Portugal 962, Valparaíso <SYS> Falta hora, hora de regreso, por favor. <USR> a las 07:30 <USR> regreso a las 13:45"
u03487,chat_00435,14,Cotización generada,"<SYS> Falta cantidad de personas, hora de regreso, por favor. <USR> ida y vuelta <USR> somos 12 personas <SYS> Falta destino, origen, por favor. <USR> regreso a las 20:45 <USR> origen Portugal 4301, Antofagasta <SYS> Falta hora, destino, por favor. <USR> destino Alameda 1996, Puerto Montt <SYS> Falta hora, por favor. <USR> a las 20:45"
u04502,chat_00562,5,Cotización generada,"<SYS> Falta hora de regreso, destino, por favor. <USR> ida y vuelta <USR> el 21/03/2025 <SYS> Falta origen, destino, por favor. <USR> regreso a las 14:15 <SYS> Falta cantidad de personas, destino, por favor. <USR> destino Alameda 1829, Santiago <USR> origen Pedro de Valdivia 1482, Rancagua <SYS> Falta cantidad de personas, por favor. <USR> somos 10 personas"
u02178,chat_00272,1,Cotizando,"<SYS> Falta si hay regreso, origen, por favor. <USR> a las 16:30 <SYS> Falta destino, origen, por favor. <USR> solo ida <SYS> Falta origen, destino, por favor. <USR> regreso a las 09:45 <SYS> Falta destino, fecha, por favor. <USR> origen Alameda 1591, La Serena <USR> somos 6 personas"
u02565,chat_00320,4,Cotizando,"<USR> buenos dias, necesito hablar con un asesor <SYS> Falta origen, hora, por favor. <USR> a las 12:00"
u00244,chat_00030,3,Potencial cliente,<USR> hola! tienen disponibilidad para la semana?
u01059,chat_00132,2,Cotizando,"<USR> necesito una cotizacion <SYS> Falta hora, cantidad de personas, por favor. <USR> ida y vuelta <USR> destino Apoquindo 654, Concepción <SYS> Falta hora, hora de regreso, por favor. <USR> origen Los Leones 3704, La Serena <SYS> Falta fecha, cantidad de personas, por favor. <USR> somos 6 personas"
u01957,chat_00244,4,Cotizando,"<USR> necesito una cotizacion 🚐 <SYS> Falta fecha, si hay regreso, por favor. <USR> origen Apoquindo 3895, Santiago <SYS> Falta hora, hora de regreso, por favor. <USR> el 11/11/2025"
u00080,chat_00009,15,Potencial cliente,"<USR> buenos dias, necesito hablar con un asesor 🙌"
u00200,chat_00024,7,Potencial cliente,"<USR> hola, quisiera info de traslados?"
u02920,chat_00364,7,Cotizando,"<USR> hola! tienen disponibilidad para la semana? <SYS> Falta origen, hora de regreso, por favor. <USR> origen Portugal 1524, Valparaíso <SYS> Falta hora, destino, por favor. <USR> destino Apoquindo 3571, Rancagua"
u01389,chat_00173,12,Cotizando,"<SYS> Falta hora de regreso, cantidad de personas, por favor. <USR> origen Vicuña Mackenna 4293, Talca <SYS> Falta hora de regreso, si hay regreso, por favor. <USR> a las 14:45 <SYS> Falta hora de regreso, si hay regreso, por favor. <USR> regreso a las 08:45 <SYS> Falta si hay regreso, fecha, por favor. <USR> destino Nueva Imperial 1567, Rancagua"
u04626,chat_00578,1,Cotización generada,"<SYS> Falta origen, destino, por favor. <USR> el 03/12/2025 <SYS> Falta destino, origen, por favor. <USR> origen Alameda 205, Viña del Mar <SYS> Falta destino, cantidad de personas, por favor. <USR> destino Nueva Imperial 3176, Viña del Mar <USR> regreso a las 16:30 <SYS> Falta cantidad de personas, por favor. <USR> somos 12 personas"
u02998,chat_00374,5,Cotizando,"<USR> hola! tienen disponibilidad para la semana? <SYS> Falta hora, hora de regreso, por favor. <USR> ida y vuelta"
u02664,chat_00332,7,Cotizando,"<USR> hola! tienen disponibilidad para la semana? <SYS> Falta hora de regreso, origen, por favor. <USR> el 02/09/2025 <USR> regreso a las 16:30"
u03867,chat_00483,10,Cotización generada,"<SYS> Falta cantidad de personas, fecha, por favor. <USR> a las 10:30 <SYS> Falta cantidad de personas, si hay regreso, por favor. <USR> el 13/08/2025 <USR> regreso a las 19:30 <SYS> Falta cantidad de personas, si hay regreso, por favor. <USR> somos 2 personas <SYS> Falta si hay regreso, por favor. <USR> ida y vuelta"
u03841,chat_00480,0,Cotización generada,"<SYS> Falta destino, hora de regreso, por favor. <USR> a las 20:15 <USR> destino Providencia 3293, La Serena <SYS> Falta hora de regreso, si hay regreso, por favor. <USR> regreso a las 15:30 <SYS> Falta fecha, si hay regreso, por favor. <USR> el 26/01/2025 <USR> somos 10 personas <SYS> Falta si hay regreso, por favor. <USR> solo ida"
u02656,chat_00331,15,Cotizando,"<USR> hola! tienen disponibilidad para la semana? <SYS> Falta hora de regreso, fecha, por favor. <USR> el 02/12/2025 <SYS> Falta hora, cantidad de personas, por favor. <USR> ida y vuelta"
u01594,chat_00199,9,Cotizando,"<USR> necesito una cotizacion <SYS> Falta cantidad de personas, si hay regreso, por favor. <USR> destino Vicuña Mackenna 2151, Talca <SYS> Falta cantidad de personas, hora de regreso, por favor. <USR> a las 16:00"
u00314,chat_00039,9,Potencial cliente,<USR> hola! tienen disponibilidad para la semana? ✅
u00295,chat_00036,6,Potencial cliente,"<USR> hola, quisiera info de traslados? 👍"
u02135,chat_00266,6,Cotizando,"<USR> necesito una cotizacion <SYS> Falta cantidad de personas, hora, por favor. <USR> somos 12 personas"
u01046,chat_00130,5,Cotizando,"<USR> buenos dias, necesito hablar con un asesor 👍 <SYS> Falta cantidad de personas, destino, por favor. <USR> origen Nueva Imperial 2826, Valparaíso"
u04660,chat_00582,3,Cotización generada,"<SYS> Falta hora de regreso, destino, por favor. <USR> regreso a las 16:00 <SYS> Falta si hay regreso, hora, por favor. <USR> destino San Martín 3600, Valparaíso <SYS> Falta hora, si hay regreso, por favor. <USR> a las 15:45 <SYS> Falta si hay regreso, por favor. <USR> solo ida"
u00529,chat_00066,0,Potencial cliente,"<USR> buenos dias, necesito hablar con un asesor 📅"
u02552,chat_00318,7,Cotizando,"<USR> buenos dias, necesito hablar con un asesor 🚐 <SYS> Falta hora, destino, por favor. <USR> regreso a las 16:15"
u03734,chat_00466,5,Cotización generada,"<SYS> Falta hora, destino, por favor. <USR> destino Portugal 1948, Viña del Mar <SYS> Falta fecha, si hay regreso, por favor. <USR> regreso a las 20:30 <USR> ida y vuelta <SYS> Falta fecha, hora, por favor. <USR> a las 16:45 <USR> el 24/04/2025 <SYS> Falta origen, por favor. <USR> origen Apoquindo 1742, Temuco"
u00706,chat_00088,1,Potencial cliente,<USR> necesito una cotizacion
u03960,chat_00494,7,Cotización generada,"<SYS> Falta fecha, hora, por favor. <USR> el 30/12/2025 <SYS> Falta destino, origen, por favor. <USR> solo ida <SYS> Falta hora, destino, por favor. <USR> destino Vicuña Mackenna 970, Rancagua <USR> origen Pedro de Valdivia 1432, Valparaíso <SYS> Falta hora, por favor. <USR> a las 09:30"
u04021,chat_00502,4,Cotización generada,"<SYS> Falta origen, si hay regreso, por favor. <USR> a las 22:45 <USR> el 17/06/2025 <SYS> Falta origen, si hay regreso, por favor. <USR> origen 1 norte 2069, Santiago <SYS> Falta hora de regreso, cantidad de personas, por favor. <USR> solo ida <USR> somos 10 personas <SYS> Falta destino, hora de regreso, por favor. <USR> destino Alameda 1690, Temuco <USR> regreso a las 10:30"
u04394,chat_00549,9,Cotización generada,"<SYS> Falta si hay regreso, destino, por favor. <USR> somos 10 personas <SYS> Falta hora, fecha, por favor. <USR> el 28/02/2025 <SYS> Falta hora, destino, por favor. <USR> a las 21:45 <USR> destino Apoquindo 2966, La Serena <SYS> Falta si hay regreso, por favor. <USR> ida y vuelta"
u01479,chat_00184,6,Cotizando,"<USR> hola, quisiera info de traslados? <SYS> Falta destino, si hay regreso, por favor. <USR> ida y vuelta"
u04399,chat_00549,14,Cotización generada,"<SYS> Falta fecha, hora de regreso, por favor. <USR> destino Apoquindo 3676, La Serena <SYS> Falta hora, hora de regreso, por favor. <USR> origen Prat 2557, Puerto Montt <SYS> Falta hora de regreso, hora, por favor. <USR> regreso a las 11:15 <SYS> Falta hora, fecha, por favor. <USR> a las 11:00 <USR> el 30/04/2025"
u02750,chat_00343,13,Cotizando,"<USR> hola! tienen disponibilidad para la semana? <SYS> Falta si hay regreso, origen, por favor. <USR> a las 17:15 <SYS> Falta cantidad de personas, origen, por favor. <USR> ida y vuelta <USR> origen Pedro de Valdivia 4587, Puerto Montt <SYS> Falta hora de regreso, cantidad de personas, por favor. <USR> el 16/12/2025"
u01752,chat_00218,7,Cotizando,"<SYS> Falta hora de regreso, cantidad de personas, por favor. <USR> regreso a las 12:30 <SYS> Falta hora, origen, por favor. <USR> ida y vuelta <SYS> Falta origen, cantidad de personas, por favor. <USR> destino Alameda 1420, Santiago <SYS> Falta cantidad de personas, hora, por favor. <USR> origen Apoquindo 4899, Santiago"
u00509,chat_00063,12,Potencial cliente,"<USR> consulta, hacen viajes privados? 👍"
u00469,chat_00058,4,Potencial cliente,<USR> hola! tienen disponibilidad para la semana?
u01156,chat_00144,3,Cotizando,"<USR> buenos dias, necesito hablar con un asesor <SYS> Falta hora, destino, por favor. <USR> origen San Martín 2419, Valparaíso"
u01673,chat_00209,8,Cotizando,"<USR> consulta, hacen viajes privados? <SYS> Falta origen, hora de regreso, por favor. <USR> a las 22:00"
u03414,chat_00426,5,Cotización generada,"<SYS> Falta destino, fecha, por favor. <USR> solo ida <USR> destino San Martín 2350, Antofagasta <SYS> Falta hora de regreso, cantidad de personas, por favor. <USR> somos 6 personas <USR> regreso a las 16:00 <SYS> Falta hora, fecha, por favor. <USR> el 08/05/2025 <SYS> Falta hora, por favor. <USR> a las 18:00"
u00300,chat_00037,11,Potencial cliente,"<USR> buenos dias, necesito hablar con un asesor"
u03235,chat_00404,2,Cotizando,"<USR> consulta, hacen viajes privados? <SYS> Falta cantidad de personas, si hay regreso, por favor. <USR> a las 16:45 <USR> somos 5 personas <SYS> Falta si hay regreso, hora de regreso, por favor. <USR> regreso a las 19:30 <SYS> Falta destino, origen, por favor. <USR> origen Los Leones 4098, Temuco"
u02675,chat_00334,2,Cotizando,"<USR> buenos dias, necesito hablar con un asesor <SYS> Falta destino, cantidad de personas, por favor. <USR> destino 1 norte 2882, Concepción <SYS> Falta hora, cantidad de personas, por favor. <USR> solo ida <SYS> Falta fecha, origen, por favor. <USR> el 11/06/2025"
u01086,chat_00135,13,Cotizando,"<USR> hola, quisiera info de traslados? 🚌 <SYS> Falta hora, origen, por favor. <USR> destino Nueva Imperial 3949, Concepción <SYS> Falta hora de regreso, hora, por favor. <USR> origen Los Leones 3941, Talca <USR> regreso a las 12:45"
u04357,chat_00544,4,Cotización generada,"<SYS> Falta destino, hora de regreso, por favor. <USR> a las 11:00 <USR> ida y vuelta <SYS> Falta destino, cantidad de personas, por favor. <USR> somos 8 personas <USR> regreso a las 13:45 <SYS> Falta origen, fecha, por favor. <USR> origen Nueva Imperial 2827, Valparaíso <SYS> Falta destino, fecha, por favor. <USR> el 24/02/2025 <USR> destino Los Leones 211, Puerto Montt"
u00530,chat_00066,1,Potencial cliente,"<USR> consulta, hacen viajes privados?"
u03229,chat_00403,12,Cotizando,"<USR> hola! tienen disponibilidad para la semana? <SYS> Falta fecha, si hay regreso, por favor. <USR> a las 20:45 <USR> somos 2 personas"
u02495,chat_00311,14,Cotizando,"<USR> necesito una cotizacion ✌️ <SYS> Falta hora de regreso, hora, por favor. <USR> destino San Martín 3922, Santiago"
u03531,chat_00441,10,Cotización generada,"<SYS> Falta cantidad de personas, fecha, por favor. <USR> el 29/04/2025 <SYS> Falta cantidad de personas, hora, por favor. <USR> somos 6 personas <SYS> Falta hora de regreso, hora, por favor. <USR> regreso a las 21:45 <SYS> Falta hora, por favor. <USR> a las 17:15"
u02577,chat_00322,0,Cotizando,"<USR> buenos dias, necesito hablar con un asesor <SYS> Falta destino, si hay regreso, por favor. <USR> destino San Martín 1617, Concepción <SYS> Falta cantidad de personas, hora de regreso, por favor. <USR> regreso a las 15:30 <SYS> Falta si hay regreso, origen, por favor. <USR> a las 18:45 <USR> el 27/05/2025"
u00009,chat_00001,8,Potencial cliente,<USR> hola! tienen disponibilidad para la semana?
u01441,chat_00180,0,Cotizando,"<USR> hola, quisiera info de traslados? 📅 <SYS> Falta origen, cantidad de personas, por favor. <USR> regreso a las 15:15"
u03148,chat_00393,11,Cotizando,"<SYS> Falta fecha, destino, por favor. <USR> solo ida <SYS> Falta hora, hora de regreso, por favor. <USR> el 08/03/2025 <SYS> Falta hora, cantidad de personas, por favor. <USR> a las 19:15 <USR> destino Apoquindo 510, Valparaíso <SYS> Falta hora de regreso, cantidad de personas, por favor. <USR> regreso a las 20:00"
u04053,chat_00506,4,Cotización generada,"<SYS> Falta hora, si hay regreso, por favor. <USR> el 13/01/2025 <SYS> Falta hora de regreso, hora, por favor. <USR> destino Alameda 833, La Serena <SYS> Falta hora de regreso, si hay regreso, por favor. <USR> regreso a las 16:15 <USR> a las 16:00 <SYS> Falta si hay regreso, por favor. <USR> solo ida"
u03723,chat_00465,10,Cotización generada,"<SYS> Falta origen, hora, por favor. <USR> regreso a las 21:45 <SYS> Falta origen, hora, por favor. <USR> ida y vuelta <SYS> Falta origen, destino, por favor. <USR> a las 12:45 <USR> destino San Martín 3223, Temuco <SYS> Falta origen, por favor. <USR> origen 1 norte 4499, Valparaíso"
u03562,chat_00445,9,Cotización generada,"<SYS> Falta cantidad de personas, destino, por favor. <USR> origen San Martín 1118, Viña del Mar <USR> regreso a las 19:15 <SYS> Falta cantidad de personas, fecha, por favor. <USR> destino Prat 3121, Talca <SYS> Falta fecha, cantidad de personas, por favor. <USR> el 20/04/2025 <SYS> Falta cantidad de personas, por favor. <USR> somos 4 personas"
u00297,chat_00037,8,Potencial cliente,<USR> hola! tienen disponibilidad para la semana?
u02666,chat_00333,9,Cotizando,"<USR> hola! tienen disponibilidad para la semana? <SYS> Falta hora de regreso, origen, por favor. <USR> el 02/09/2025 <USR> regreso a las 16:30 <SYS> Falta hora, cantidad de personas, por favor. <USR> origen Portugal 1763, Santiago <SYS> Falta destino, si hay regreso, por favor. <USR> destino Apoquindo 1966, Talca <USR> ida y vuelta"
u03782,chat_00472,5,Cotización generada,"<SYS> Falta fecha, destino, por favor. <USR> destino Nueva Imperial 4813, Temuco <USR> a las 09:00 <SYS> Falta fecha, cantidad de personas, por favor. <USR> origen Los Leones 4112, Temuco <SYS> Falta fecha, cantidad de personas, por favor. <USR> somos 2 personas <SYS> Falta fecha, por favor. <USR> el 17/10/2025"
u01545,chat_00193,8,Cotizando,"<USR> necesito una cotizacion ✌️ <SYS> Falta origen, fecha, por favor. <USR> el 05/06/2025 <SYS> Falta origen, destino, por favor. <USR> origen Prat 2403, La Serena"
u01943,chat_00242,6,Cotizando,"<USR> buenos dias, necesito hablar con un asesor <SYS> Falta hora de regreso, destino, por favor. <USR> regreso a las 11:45 <SYS> Falta hora, fecha, por favor. <USR> a las 18:30 <USR> destino Vicuña Mackenna 2142, La Serena <SYS> Falta origen, cantidad de personas, por favor. <USR> somos 3 personas <USR> ida y vuelta"
u00742,chat_00092,5,Potencial cliente,<USR> necesito una cotizacion
u03095,chat_00386,6,Cotizando,"<SYS> Falta hora, origen, por favor. <USR> el 28/01/2025 <SYS> Falta cantidad de personas, hora, por favor. <USR> regreso a las 21:45 <SYS> Falta hora, si hay regreso, por favor. <USR> origen Portugal 3059, Rancagua <SYS> Falta hora, si hay regreso, por favor. <USR> somos 8 personas"
u02560,chat_00319,15,Cotizando,"<SYS> Falta fecha, destino, por favor. <USR> ida y vuelta <SYS> Falta destino, hora, por favor. <USR> destino Vicuña Mackenna 2475, Puerto Montt <SYS> Falta cantidad de personas, hora de regreso, por favor. <USR> a las 13:00 <SYS> Falta hora de regreso, cantidad de personas, por favor. <USR> regreso a las 07:45"
u01069,chat_00133,12,Cotizando,"<USR> hola, quisiera info de traslados? <SYS> Falta cantidad de personas, origen, por favor. <USR> ida y vuelta <USR> el 30/11/2025 <SYS> Falta cantidad de personas, hora de regreso, por favor. <USR> somos 8 personas"
u01791,chat_00223,14,Cotizando,"<USR> necesito una cotizacion 🙏 <SYS> Falta hora, cantidad de personas, por favor. <USR> origen Portugal 386, Antofagasta <SYS> Falta destino, cantidad de personas, por favor. <USR> solo ida"
u00270,chat_00033,13,Potencial cliente,"<USR> hola, quisiera info de traslados?"
u04242,chat_00530,1,Cotización generada,"<SYS> Falta si hay regreso, hora, por favor. <USR> a las 21:30 <USR> ida y vuelta <SYS> Falta origen, destino, por favor. <USR> origen Providencia 369, Rancagua <SYS> Falta destino, cantidad de personas, por favor. <USR> destino Vicuña Mackenna 3195, Concepción <SYS> Falta cantidad de personas, por favor. <USR> somos 4 personas"
u04598,chat_00574,5,Cotización generada,"<SYS> Falta hora de regreso, origen, por favor. <USR> a las 13:45 <SYS> Falta hora de regreso, origen, por favor. <USR> ida y vuelta <USR> destino Portugal 2614, Santiago <SYS> Falta origen, hora de regreso, por favor. <USR> el 18/01/2025 <USR> origen Los Leones 4646, Temuco <SYS> Falta hora de regreso, por favor. <USR> regreso a las 17:30"
